time,load_user1,load_user2,load_user3,load_user4,load_user5,load_user6,load_user7,load_user8,load_user9
1,0.27746148749934346,0.27746148749934346,0.27746148749934346,0.25658203821468795,0.25658203821468795,0.25658203821468795,0.25658203821468795,0.25658203821468795,0.25658203821468795
2,0.2338578071179736,0.2338578071179736,0.2338578071179736,0.24372019797834774,0.24372019797834774,0.24372019797834774,0.24372019797834774,0.24372019797834774,0.24372019797834774
3,0.21027030401036967,0.21027030401036967,0.21027030401036967,0.23718914374391586,0.23718914374391586,0.23718914374391586,0.23718914374391586,0.23718914374391586,0.23718914374391586
4,0.1995851438334657,0.1995851438334657,0.1995851438334657,0.2350665492539504,0.2350665492539504,0.2350665492539504,0.2350665492539504,0.2350665492539504,0.2350665492539504
5,0.1983129336893538,0.1983129336893538,0.1983129336893538,0.23760741626208892,0.23760741626208892,0.23760741626208892,0.23760741626208892,0.23760741626208892,0.23760741626208892
6,0.21459973647000163,0.21459973647000163,0.21459973647000163,0.25034222913747095,0.25034222913747095,0.25034222913747095,0.25034222913747095,0.25034222913747095,0.25034222913747095
7,0.2662802070220719,0.2662802070220719,0.2662802070220719,0.2816163538714094,0.2816163538714094,0.2816163538714094,0.2816163538714094,0.2816163538714094,0.2816163538714094
8,0.3426545454307506,0.3426545454307506,0.3426545454307506,0.3304445353789256,0.3304445353789256,0.3304445353789256,0.3304445353789256,0.3304445353789256,0.3304445353789256
9,0.3665802591724181,0.3665802591724181,0.3665802591724181,0.40189696411248826,0.40189696411248826,0.40189696411248826,0.40189696411248826,0.40189696411248826,0.40189696411248826
10,0.37583692509019634,0.37583692509019634,0.37583692509019634,0.4955707177094532,0.4955707177094532,0.4955707177094532,0.4955707177094532,0.4955707177094532,0.4955707177094532
11,0.3704483384383411,0.3704483384383411,0.3704483384383411,0.5294595061859995,0.5294595061859995,0.5294595061859995,0.5294595061859995,0.5294595061859995,0.5294595061859995
12,0.3704543187512311,0.3704543187512311,0.3704543187512311,0.529150899192527,0.529150899192527,0.529150899192527,0.529150899192527,0.529150899192527,0.529150899192527
13,0.38275736636419194,0.38275736636419194,0.38275736636419194,0.480664411553264,0.480664411553264,0.480664411553264,0.480664411553264,0.480664411553264,0.480664411553264
14,0.3857320602614743,0.3857320602614743,0.3857320602614743,0.4008260709259446,0.4008260709259446,0.4008260709259446,0.4008260709259446,0.4008260709259446,0.4008260709259446
15,0.38341670737059247,0.38341670737059247,0.38341670737059247,0.39536157845215397,0.39536157845215397,0.39536157845215397,0.39536157845215397,0.39536157845215397,0.39536157845215397
