Time,user 1,user 2,user 3,user 4,user 5,user 6,user 7,user 8,user 9,PV
78,0.076,0.06,0.041,0.11,0.042,0.065,0.292,0.145,0.093,0
79,0.062,0.086,0.041,0.116,0.035,0.074,0.341,0.068,0.093,0
80,0.046,0.589,0.12,0.107,0.039,0.063,0.34,0.049,0.104,0.078
81,0.091,1.087,0.075,0.18,0.043,0.067,0.339,0.076,0.187,0.206
82,0.045,0.259,0.117,0.137,0.024,0.143,0.413,0.43,0.259,0.358
83,0.087,0.292,0.136,0.2,0.072,0.261,0.353,0.412,0.201,0.394
84,0.049,0.137,0.059,0.717,0.035,0.188,0.268,1.308,0.163,0.448
85,0.053,0.612,0.038,0.156,0.044,0.901,0.365,0.363,0.304,0.428
86,0.084,1.362,0.529,0.186,0.045,0.364,1.676,0.632,0.222,0.312
87,0.046,0.879,0.221,0.244,0.105,0.716,1.103,0.261,0.505,0.165
88,0.088,0.843,0.259,0.516,0.243,0.394,0.975,0.566,0.151,0.016
89,0.048,0.228,0.404,0.18,0.151,0.646,0.526,0.32,0.198,0
90,0.047,0.194,1.25,0.698,0.035,0.311,0.536,0.764,0.24,0
91,0.089,0.209,0.936,0.169,0.033,0.189,0.355,0.321,0.301,0
92,0.045,0.183,0.386,0.457,0.03,0.202,0.42,0.325,0.487,0
93,0.079,1.049,0.464,0.203,0.026,0.355,0.449,0.31,0.504,0
94,0.056,0.245,0.47,0.197,0.156,0.323,0.496,0.324,0.31,0
95,0.078,0.383,0.293,0.218,0.942,0.3,0.583,0.654,0.458,0
96,0.154,0.442,0.3,0.122,0.971,0.246,0.501,0.564,0.41,0
97,0.049,0.185,0.129,0.12,0.235,0.091,0.392,0.329,0.101,0
98,0.073,0.079,0.106,0.118,0.231,0.073,0.377,0.076,0.109,0
99,0.066,0.109,0.041,0.108,0.083,0.066,0.328,0.051,0.092,0
100,0.046,0.122,0.079,0.164,0.047,0.065,0.259,0.094,0.094,0
101,0.092,0.118,0.057,0.126,0.036,0.071,0.306,0.068,0.104,0
102,0.046,0.095,0.065,0.113,0.032,0.063,0.207,0.05,0.091,0
103,0.08,0.119,0.11,0.121,0.034,0.07,0.296,0.073,0.112,0.004
104,0.057,0.995,0.04,0.113,0.04,0.165,0.282,0.239,0.462,0.264
105,0.046,0.61,0.067,0.113,0.037,0.185,0.261,0.053,0.264,0.511
106,0.092,0.554,0.188,0.115,0.061,0.16,0.301,0.057,0.536,0.635
107,0.046,0.458,0.406,0.111,0.03,0.154,0.351,0.087,0.199,0.646
108,0.07,0.254,0.172,0.109,0.031,1.053,0.601,0.098,0.882,0.632
109,0.068,0.28,0.063,0.153,0.386,0.822,0.256,0.066,0.959,0.577
110,0.046,0.173,0.139,0.325,0.164,0.198,0.185,0.762,0.6,0.381
111,0.093,0.254,0.142,0.451,0.083,0.104,0.59,1.097,1.139,0.101
112,0.082,0.825,0.391,1.248,0.125,0.107,0.972,0.63,0.783,0.002
113,0.116,0.87,0.877,0.842,0.09,0.099,0.518,0.347,0.149,0
114,0.086,0.237,0.899,0.876,0.052,0.085,0.449,0.38,0.119,0
115,0.046,0.181,0.313,0.205,0.115,0.141,0.374,0.246,0.15,0
116,0.082,0.496,0.343,0.14,0.039,0.753,0.367,0.294,0.155,0
117,0.045,0.543,0.128,0.499,0.838,1.85,0.426,0.229,0.844,0
118,0.045,0.266,0.089,0.246,0.421,0.292,0.964,0.278,0.263,0
119,0.045,0.365,0.159,0.46,0.243,0.302,0.617,0.711,0.33,0
120,0.059,0.278,0.194,0.223,0.249,0.235,0.507,0.737,0.229,0
121,0.11,0.254,0.184,0.143,0.25,0.066,0.428,0.25,0.143,0
122,0.089,0.099,0.121,0.128,0.242,0.069,0.319,0.084,0.103,0
123,0.046,0.068,0.04,0.127,0.063,0.073,0.247,0.074,0.084,0
124,0.046,0.084,0.11,0.124,0.037,0.083,0.16,0.049,0.098,0
125,0.046,0.067,0.04,0.126,0.034,0.077,0.236,0.075,0.089,0
126,0.045,0.091,0.074,0.125,0.033,0.061,0.238,0.091,0.092,0
127,0.061,0.132,0.07,0.125,0.035,0.074,0.246,0.049,0.108,0.007
128,0.106,0.596,0.039,0.123,0.034,0.072,0.25,0.049,0.095,0.292
129,0.064,0.256,0.13,0.137,0.027,0.205,0.296,0.09,0.092,0.495
130,0.046,0.432,0.148,0.679,0.031,0.154,0.444,0.095,0.173,0.584
131,0.046,0.167,0.587,0.259,0.031,0.149,0.665,0.141,0.414,0.589
132,0.046,0.182,0.244,0.143,0.059,0.159,0.818,0.145,0.132,0.550
133,0.045,1.038,0.101,0.242,0.025,0.231,1.855,0.192,0.2,0.455
134,0.046,0.202,1.446,0.715,0.081,0.058,0.217,0.249,0.418,0.363
135,0.046,0.419,0.18,0.211,0.044,0.062,0.288,0.27,0.188,0.261
136,0.045,0.744,0.368,0.841,0.033,0.072,0.198,0.548,0.104,0.036
137,0.045,0.249,0.194,0.854,0.027,0.067,0.232,0.24,0.152,0
138,0.045,0.154,0.613,0.747,0.026,0.07,0.208,0.613,0.358,0
139,0.045,0.187,0.441,0.456,0.117,0.157,0.264,0.429,0.404,0
140,0.045,0.638,0.398,0.453,0.068,0.274,0.331,0.33,0.2,0
141,0.045,0.918,1.043,0.306,1.467,0.379,0.31,1.174,0.688,0
142,0.093,0.182,0.754,0.282,0.162,0.277,0.364,0.421,0.492,0
143,0.101,0.289,0.658,0.22,0.205,0.28,0.29,0.265,0.274,0
144,0.046,0.265,0.498,0.201,0.195,0.147,0.355,0.362,0.182,0
145,0.045,0.282,0.303,0.173,0.203,0.078,0.301,0.578,0.113,0
146,0.046,0.143,0.262,0.174,0.203,0.069,0.41,0.325,0.1,0
147,0.046,0.115,0.177,0.181,0.119,0.073,0.306,0.162,0.093,0
148,0.046,0.073,0.177,0.172,0.043,0.058,0.319,0.102,0.09,0
149,0.046,0.073,0.177,0.169,0.053,0.064,0.282,0.085,0.108,0
150,0.098,0.065,0.259,0.168,0.031,0.098,0.173,0.053,0.092,0
151,0.107,0.155,0.222,0.176,0.048,0.067,0.277,0.051,0.109,0.001
152,0.061,1.138,0.177,0.166,0.039,0.069,0.208,0.088,0.652,0.166
153,0.06,1.021,0.231,0.164,0.048,0.057,0.242,0.119,0.853,0.353
154,0.107,0.194,1.133,0.17,0.026,0.179,0.411,0.222,0.318,0.465
155,0.057,0.109,1.014,0.424,0.048,0.179,0.339,1.052,0.133,0.610
156,0.046,0.149,0.67,0.192,0.061,0.195,0.819,0.208,0.115,0.668
157,0.046,0.155,0.117,0.175,0.024,1.294,0.325,0.503,0.136,0.631
158,0.045,0.238,0.936,0.188,0.098,0.32,0.531,0.336,0.096,0.524
159,0.045,0.614,0.29,0.377,0.08,0.214,0.369,0.468,0.332,0.319
160,0.046,0.47,0.564,1.044,0.088,0.135,0.725,0.477,0.281,0.045
161,0.045,0.612,0.183,0.856,0.076,0.08,0.677,0.182,0.543,0
162,0.045,0.079,0.159,0.194,0.034,0.071,0.407,0.486,0.475,0
163,0.045,0.07,0.422,0.199,0.096,0.142,0.329,0.254,0.22,0
164,0.045,0.082,0.129,0.26,0.043,0.539,0.406,0.473,1.35,0
165,0.045,0.223,0.513,0.252,0.2,1.256,0.384,0.519,1.19,0
166,0.045,0.214,0.858,0.453,0.207,0.586,0.398,0.416,0.864,0
167,0.046,0.297,0.675,0.233,0.228,0.594,0.401,0.519,0.694,0
168,0.081,0.264,0.906,0.185,0.212,0.197,0.502,0.612,0.908,0
169,0.103,0.081,0.118,0.171,0.101,0.082,0.459,0.178,0.228,0
170,0.046,0.079,0.118,0.169,0.041,0.078,0.334,0.07,0.107,0
171,0.046,0.06,0.043,0.166,0.048,0.06,0.289,0.111,0.104,0
172,0.046,0.076,0.064,0.166,0.038,0.07,0.278,0.061,0.095,0
173,0.046,0.061,0.1,0.167,0.027,0.059,0.272,0.056,0.098,0
174,0.046,0.064,0.044,0.165,0.031,0.067,0.297,0.093,0.107,0
175,0.046,0.076,0.098,0.179,0.037,0.09,0.242,0.09,0.082,0
176,0.084,0.293,0.069,0.17,0.031,0.082,0.294,0.078,0.131,0.022
177,0.108,0.428,0.176,0.196,0.036,0.274,0.229,0.149,0.102,0.052
178,0.075,0.455,0.596,0.197,0.032,0.142,0.293,0.455,0.175,0.092
179,0.046,0.074,0.449,0.195,0.045,0.179,0.419,0.189,0.186,0.104
180,0.108,0.069,0.603,0.165,0.037,0.846,0.458,0.446,0.134,0.091
